cur	củ
curfew	cuề
curfews	cuế
curry	cury
curs	cú
curst	cút
curt	củt
cusp	cúp
cusps	cúp
cuss	cus
cuts	cút
daffy	dafy
daft	dàt
dais	dái
dams	dám
darn	dản
darns	dán
dart	dảt
darts	dát
data	dât
dawn	dăn
dawns	dắn
days	dáy
dd	đ
deem	dêm
deems	dếm
deep	dêp
deeps	dếp
deer	dể
deers	dế
defer	dể
defers	dế
deft	dèt
defter	dểt
defuse	dếu
defuses	dếu
dens	dén
dense	dến
denser	dển
depress	depres
desert	dểt
deserts	dết
dessert	desert
desserts	deserts
deter	dểt
deters	dết
dew	dê
dieter	diểt
dieters	diết
diff	dif
diffs	difs
dims	dím
dins	dín
dips	díp
dirt	dỉt
disc	díc
discs	díc
dis	dí
diss	dis
docs	dóc
doer	dỏe
doers	dóe
does	dóe
doff	dof
doffs	dofs
donor	dổn
donors	dốn
dons	dón
doom	dôm
dooms	dốm
door	dổ
doors	dố
dorm	dỏm
dorms	dóm
dos	dó
dose	dóe
doses	dóe
dots	dót
down	dơn
downs	dớn
duff	duf
dungs	dúng
duns	dún
dust	dút
dusts	dút
dwarf	dừa
dwarfs	dứa
ems	ém
ere	ể
err	er
error	eror
errors	erors
errs	ers
es	é
esp	ép
ester	ểt
esters	ết
est	ét
ex	ẽ
exec	ễc
execs	ếc
exert	ểt
exerts	ết
exes	ế
express	expres
gaff	gaf
gaffs	gafs
gangs	gáng
gaps	gáp
gas	gá
gasp	gáp
gasps	gáp
gassy	gasy
gays	gáy
gee	gê
gees	gế
gems	gém
gene	gên
genes	gến
genre	gển
genres	gến
gens	gén
germ	gẻm
germs	gém
gets	gét
ghost	ghót
ghosts	ghót
gift	gìt
gifts	gít
gins	gín
girt	gỉt
girts	gít
gist	gít
glowworm	gloworm
glowworms	gloworms
goats	goát
goes	góe
gofer	gỏe
gofers	góe
gongs	góng
goof	gồ
goofs	gố
goo	gô
goon	gôn
goons	gốn
goop	gôp
gore	gỏe
gores	góe
gorp	gỏp
gorps	góp
gorse	góe
gown	gơn
gowns	gớn
guesser	guể
guessers	guế
guesses	guế
guffaw	gufaw
guffaws	gufaws
guff	guf
gums	gúm
guns	gún
gust	gút
gusts	gút
guts	gút
guys	gúy
haft	hàt
hafts	hát
hair	hải
hairs	hái
hams	hám
hangar	hẩng
hangars	hấng
hangs	háng
harass	haras
harm	hảm
harms	hám
harp	hảp
harps	háp
harry	hary
hart	hảt
harts	hát
has	há
hasp	háp
hasps	háp
hats	hát
haw	hă
haws	hắ
hays	háy
heft	hèt
hefts	hét
hems	hém
hens	hén
here	hể
her	hẻ
hero	hẻo
heros	héo
herpes	hếp
hers	hé
hes	hé
hew	hê
hewn	hên
hews	hế
hexes	hế
hex	hẽ
hims	hím
hips	híp
his	hí
hiss	his
hits	hít
hoary	hoảy
hoax	hõa
hoes	hóe
honor	hổn
honors	hốn
hoof	hồ
hoofs	hố
hoop	hôp
hoops	hốp
hoot	hôt
hoots	hốt
hops	hóp
horn	hỏn
horns	hón
horror	horor
horrors	horors
horse	hóe
horses	hóe
hose	hóe
hoses	hóe
hos	hó
host	hót
hosts	hót
how	hơ
hows	hớ
huff	huf
huffs	hufs
huffy	hufy
hums	húm
hurry	hury
hurt	hủt
hurts	hút
hussar	husar
hussars	husars
hussy	husy
huts	hút
if	ì
ifs	í
ins	ín
is	í
ism	ím
isms	ím
its	ít
ix	ĩ
karat	kẩt
karats	kất
karma	kẩm
keen	kên
keens	kến
keep	kêp
keeps	kếp
kens	kén
khans	khán
kiss	kis
kits	kít
koans	koán
lair	lải
lairs	lái
lama	lâm
lamas	lấm
lams	lám
laps	láp
larch	lảch
lass	las
lasso	laso
lassos	lasos
last	lát
lasts	lát
lats	lát
law	lă
lawn	lăn
lawns	lắn
laws	lắ
lax	lã
lays	láy
lecher	lểch
lechers	lếch
leech	lêch
lee	lê
leer	lể
leers	lế
lees	lế
lefter	lểt
left	lèt
lefts	lét
lenses	lến
lens	lén
leper	lểp
lepers	lếp
lessee	lesse
lessen	lesen
lessens	lesens
lesser	leser
less	les
lessor	lesor
lessors	lesors
lest	lét
lets	lét
lexer	lể
lexers	lế
liar	lỉa
liars	lía
liefer	lỉê
liefest	liết
lift	lìt
lifts	lít
lips	líp
lira	lỉa
liras	lía
lisp	líp
lisps	líp
list	lít
lists	lít
lix	lĩ
loaf	lòa
loafs	lóa
loans	loán
loco	lôc
loft	lòt
lofts	lót
longs	lóng
loom	lôm
looms	lốm
loon	lôn
loons	lốn
loop	lôp
loops	lốp
loot	lôt
loots	lốt
lops	lóp
lore	lỏe
lorn	lỏn
lose	lóe
loser	lỏe
losers	lóe
loses	lóe
losses	loses
loss	los
lost	lót
lots	lót
low	lơ
lows	lớ
loxes	lóe
lox	lõ
lungs	lúng
lust	lút
lusts	lút
major	mảo
majors	máo
mama	mâm
mamas	mấm
manga	mâng
mans	mán
maps	máp
march	mảch
mar	mả
marry	mary
mars	má
mart	mảt
marts	mát
masc	mác
mas	má
mass	mas
mast	mát
masts	mát
mats	mát
maw	mă
maws	mắ
max	mã
meet	mêt
meets	mết
meme	mêm
memes	mếm
menses	mến
mere	mể
meres	mế
merest	mết
mes	mé
messes	meses
mess	mes
mete	mêt
meter	mểt
meters	mết
metes	mết
mew	mê
mews	mế
miff	mif
miffs	mifs
minx	mĩn
misc	míc
miss	mis
mist	mít
mists	mít
mix	mĩ
moans	moán
moats	moát
moms	móm
mono	môn
moo	mô
moon	môn
moons	mốn
moor	mổ
moors	mố
moos	mố
moot	môt
moots	mốt
mops	móp
morass	moras
moray	moảy
morays	moáy
more	mỏe
mores	móe
morn	mỏn
morns	món
moron	mổn
morons	mốn
mos	mó
mosses	moses
moss	mos
most	mót
motor	mổt
motors	mốt
mow	mơ
mown	mơn
mows	mớ
muff	muf
muffs	mufs
mungs	múng
muss	mus
mussy	musy
must	mút
musts	mút
naps	náp
narc	nảc
narcs	nác
nary	nảy
nays	náy
nest	nét
nests	nét
nets	nét
new	nê
news	nế
newt	nêt
newts	nết
next	nẽt
nexuses	nếu
niece	niêc
nieces	niếc
nips	níp
nits	nít
nix	nĩ
noes	nóe
noon	nôn
norm	nỏm
norms	nóm
nor	nỏ
nose	nóe
noses	nóe
nos	nó
now	nơ
nuns	nún
nuts	nút
oaf	òa
oafs	óa
oar	ỏa
oars	óa
oasis	oái
oats	oát
offer	ofer
offers	ofers
off	of
offset	ofset
offsets	ofsets
offs	ofs
of	ò
oft	òt
oops	ốp
ops	óp
orc	ỏc
orcs	óc
ore	ỏe
ores	óe
or	ỏ
own	ơn
owns	ớn
ow	ơ
oxen	oẽn
ox	õ
pair	pải
pairs	pái
pangs	páng
pans	pán
papa	pâp
papas	pấp
paps	páp
parch	pảch
par	pả
parry	pary
pars	pá
part	pảt
parts	pát
pas	pá
pass	pas
pasta	pất
pastas	pất
past	pát
pasts	pát
pats	pát
pawn	păn
pawns	pắn
paw	pă
paws	pắ
pays	páy
pecs	péc
pee	pê
peep	pêp
peeps	pếp
peer	pể
peers	pế
pees	pế
penes	pến
pens	pén
peps	pép
perches	pếch
perjure	pểu
perjurer	pểu
perjurers	pếu
perjures	pếu
perm	pẻm
perms	pém
per	pẻ
perter	pểt
pert	pẻt
peruse	pếu
peruses	pếu
peso	péo
pesos	péo
pester	pểt
pesters	pết
pest	pét
pests	pét
peter	pểt
peters	pết
pets	pét
pew	pê
pews	pế
photo	phôt
photos	phốt
piece	piêc
pieces	piếc
pierce	piểc
pierces	piếc
pins	pín
pips	píp
pis	pí
piss	pis
pits	pít
poems	poém
poets	poét
poop	pôp
poops	pốp
poor	pổ
pops	póp
pore	pỏe
pores	póe
porno	pổn
porn	pỏn
port	pỏt
ports	pót
pose	póe
poser	pỏe
posers	póe
poses	póe
posse	pose
posses	poses
possessor	posessor
possessors	posessors
possess	posess
poss	pos
post	pót
posts	pót
pots	pót
powwowed	powowed
powwowing	powowing
powwow	powow
powwows	powows
poxes	póe
pox	põ
puff	puf
puffs	pufs
puffy	pufy
puns	pún
pups	púp
puree	puể
purees	puế
purr	pur
purrs	purs
pus	pú
puss	pus
pussy	pusy
puts	pút
pwn	pưn
pyx	pỹ
quaff	quaf
quaffs	quafs
quarry	quary
quart	quảt
quarts	quát
quasar	quẩ
quasars	quấ
quasi	quái
quays	quáy
queen	quên
queens	quến
queer	quể
queers	quế
ques	qué
quest	quét
quests	quét
queue	quêu
queues	quếu
quieter	quiểt
quips	quíp
quits	quít
raft	ràt
rafts	rát
raja	rậ
rajas	rấ
rams	rám
raps	ráp
rasp	ráp
rasps	ráp
rats	rát
raw	ră
rays	ráy
reef	rề
reefs	rế
refer	rể
refers	rế
ref	rè
refs	ré
refuse	rếu
refuses	rếu
repress	repres
reps	rép
reset	rết
resets	rết
resp	rép
rest	rét
rests	rét
reuse	rếu
reuses	rếu
riffraff	rifraff
riff	rif
riffs	rifs
rift	rìt
rifts	rít
rims	rím
rips	ríp
roams	roám
roans	roán
roar	rỏa
roars	róa
roast	roát
roasts	roát
roes	róe
roof	rồ
roofs	rố
room	rôm
rooms	rốm
roost	rốt
roosts	rốt
root	rôt
roots	rốt
rosary	roảy
rose	róe
roses	róe
rotor	rổt
rotors	rốt
rots	rót
row	rơ
rows	rớ
ruff	ruf
ruffs	rufs
rums	rúm
rungs	rúng
runs	rún
rust	rút
rusts	rút
ruts	rút
sacs	sác
sans	sán
saps	sáp
sari	sải
saris	sái
sass	sas
sassy	sasy
sawn	săn
saw	să
saws	sắ
sax	sã
says	sáy
secs	séc
seem	sêm
seems	sếm
seen	sên
seep	sêp
seeps	sếp
seer	sể
seers	sế
see	sê
sees	sế
sense	sến
senses	sến
serer	sể
sere	sể
serest	sết
serf	sè
serfs	sé
sets	sét
sewn	sên
sew	sê
sews	sế
sexes	sế
sex	sẽ
sics	síc
sift	sìt
sifts	sít
sims	sím
sins	sín
sips	síp
sir	sỉ
sirs	sí
sis	sí
sits	sít
six	sĩ
soaps	soáp
soar	sỏa
soars	sóa
sofa	sòa
sofas	sóa
soft	sòt
songs	sóng
sons	són
soon	sôn
soot	sôt
sops	sóp
sorer	sỏe
sore	sỏe
sores	sóe
sorest	soét
sort	sỏt
sorts	sót
sos	só
sots	sót
sown	sơn
sow	sơ
sows	sớ
sox	sõ
sufferers	suferers
sufferer	suferer
suffix	sufix
sums	súm
suns	sún
sups	súp
surfs	sú
surf	sù
taffy	tafy
tams	tám
tangs	táng
tans	tán
taps	táp
tariffs	tarifs
tariff	tarif
taros	táo
taro	tảo
tarps	táp
tarp	tảp
tarry	tary
tars	tá
tar	tả
tartars	tất
tartar	tẩt
tarts	tát
tart	tảt
tats	tát
taxis	tái
taxi	tãi
tax	tã
teems	tếm
teem	têm
teens	tến
teen	tên
tees	tế
tee	tê
tenser	tển
tenses	tến
tense	tến
tens	tén
tepee	tepe
terms	tém
term	tẻm
terns	tén
tern	tẻn
terrors	terors
terror	teror
terser	tể
tersest	tết
terse	tế
testers	tết
tester	tểt
testes	tết
tests	tét
test	tét
texts	tét
text	tẽt
thaws	thắ
thaw	thă
thees	thế
thee	thê
thefts	thét
theft	thèt
themes	thếm
theme	thêm
there	thể
theses	thế
these	thế
thins	thín
thirsts	thít
thirst	thít
this	thí
thongs	thóng
thorax	thõa
thorns	thón
thorn	thỏn
those	thóe
thus	thú
tics	tíc
tiffs	tifs
tiff	tif
tins	tín
tips	típ
tits	tít
toasts	toát
toast	toát
toes	tóe
toms	tóm
tongs	tóng
tons	tón
too	tô
toots	tốt
toot	tôt
tops	tóp
tore	tỏe
torn	tỏn
torpor	tổp
torsi	tói
torsos	tố
torso	tố
tors	tó
tor	tỏ
torts	tót
tort	tỏt
tosses	toses
toss	tos
tost	tót
tots	tót
towns	tớn
town	tơn
tows	tớ
tow	tơ
trams	trám
trans	trán
traps	tráp
trays	tráy
trees	trế
tree	trê
tresses	treses
tress	tres
trims	trím
trips	tríp
trons	trón
troops	trốp
troop	trôp
trots	trót
truss	trus
trusts	trút
trust	trút
tufts	tút
tuft	tùt
tuns	tún
tureens	túên
tureen	tủên
turfs	tú
turf	tù
turns	tún
turn	tủn
tux	tũ
ups	úp
urns	ún
urn	ủn
us	ú
vans	ván
vars	vá
var	vả
vary	vảy
vasts	vát
vast	vát
vats	vát
veeps	vếp
veep	vêp
veers	vế
veer	vể
verses	vế
verse	vế
vertex	vễt
vespers	vếp
vesper	vểp
vests	vét
vest	vét
vets	vét
vexes	vế
vex	vẽ
views	víê
view	viê
virus	víu
visas	vía
visa	vía
vows	vớ
vow	vơ
xix	xĩ
xor	xỏ
yeses	ýê
yews	ýê
yew	yê
yrs	ý
yr	ỷ
